Simulation	RV_Cond_1[m/s]	RV_Cond_2[m/s]	RV_Cond_3[m/s]
M0-Z-1.0-60k	  8.90	 26.10	  9.30
M0-Z-1.0-80k	  6.00	 17.10	  6.20
M0-Z-1.0-100k	  4.50	 12.80	  4.60
M0-Z-5.0-60k	 13.60	 38.90	 14.00
M0-Z-5.0-80k	 10.60	 30.50	 10.90
M0-Z-5.0-100k	  9.00	 25.70	  9.30
M0-Z-10.0-60k	 23.90	 60.80	 24.60
M0-Z-10.0-80k	 19.90	 50.60	 20.50
M0-Z-10.0-100k	 17.40	 44.20	 18.00
M0-Y-1.0-60k	  8.70	  9.00	  8.80
M0-Y-1.0-80k	  5.40	  5.60	  5.50
M0-Y-1.0-100k	  3.80	  4.00	  3.90
M0-Y-5.0-60k	 14.60	 15.10	 14.80
M0-Y-5.0-80k	 11.10	 11.40	 11.20
M0-Y-5.0-100k	  9.10	  9.40	  9.20
M0-Y-10.0-60k	 29.60	 30.70	 30.00
M0-Y-10.0-80k	 24.20	 25.00	 24.40
M0-Y-10.0-100k	 20.70	 21.40	 20.90
M0-J-1.0-60k	 14.50	 50.30	 15.30
M0-J-1.0-80k	  9.80	 33.90	 10.30
M0-J-1.0-100k	  7.40	 25.60	  7.80
M0-J-5.0-60k	 21.60	 72.30	 22.90
M0-J-5.0-80k	 16.90	 56.10	 17.90
M0-J-5.0-100k	 14.30	 47.30	 15.10
M0-J-10.0-60k	 37.40	115.10	 39.70
M0-J-10.0-80k	 31.00	 95.20	 33.00
M0-J-10.0-100k	 27.20	 83.50	 28.90
M0-H-1.0-60k	  6.70	  7.10	  6.90
M0-H-1.0-80k	  4.80	  5.10	  4.90
M0-H-1.0-100k	  3.80	  4.00	  3.90
M0-H-5.0-60k	  9.70	 10.20	  9.90
M0-H-5.0-80k	  7.60	  8.00	  7.70
M0-H-5.0-100k	  6.40	  6.80	  6.60
M0-H-10.0-60k	 17.00	 17.90	 17.40
M0-H-10.0-80k	 14.10	 14.90	 14.40
M0-H-10.0-100k	 12.30	 13.00	 12.60
M0-K-1.0-60k	 13.40	 15.50	 14.40
M0-K-1.0-80k	  9.20	 10.50	  9.80
M0-K-1.0-100k	  7.10	  8.10	  7.60
M0-K-5.0-60k	 20.70	 23.90	 22.10
M0-K-5.0-80k	 16.00	 18.40	 17.10
M0-K-5.0-100k	 13.50	 15.50	 14.40
M0-K-10.0-60k	 38.30	 44.20	 40.90
M0-K-10.0-80k	 31.70	 36.60	 33.90
M0-K-10.0-100k	 27.70	 31.90	 29.70
M3-Z-1.0-60k	  7.70	 22.60	  7.90
M3-Z-1.0-80k	  4.80	 14.00	  5.00
M3-Z-1.0-100k	  3.50	 10.00	  3.60
M3-Z-5.0-60k	 12.50	 36.80	 12.90
M3-Z-5.0-80k	  9.60	 28.30	  9.90
M3-Z-5.0-100k	  8.00	 23.60	  8.30
M3-Z-10.0-60k	 23.80	 61.40	 24.60
M3-Z-10.0-80k	 19.60	 50.90	 20.30
M3-Z-10.0-100k	 17.10	 44.30	 17.70
M3-Y-1.0-60k	  7.60	  7.80	  7.70
M3-Y-1.0-80k	  4.70	  4.80	  4.70
M3-Y-1.0-100k	  3.30	  3.40	  3.30
M3-Y-5.0-60k	 13.00	 13.40	 13.20
M3-Y-5.0-80k	  9.80	 10.10	  9.90
M3-Y-5.0-100k	  8.10	  8.30	  8.20
M3-Y-10.0-60k	 26.90	 27.80	 27.20
