# id	prec_1	prec_2	prec_3
M0-Z-1.0-60k	9.0070428	14.7959007	9.3168033
M0-Z-1.0-80k	5.9881847	9.8607586	6.2000456
M0-Z-1.0-100k	4.4950628	7.4664114	4.6586007
M0-Z-5.0-60k	13.7075418	22.3781357	14.1639940
M0-Z-5.0-80k	10.6845487	17.3951335	11.0422710
M0-Z-5.0-100k	9.0405382	14.7283176	9.3447043
M0-Z-10.0-60k	24.2070186	38.7554058	24.9785006
M0-Z-10.0-80k	20.1563059	32.2146767	20.8011270
M0-Z-10.0-100k	17.6602874	28.2482921	18.2267411
M0-Y-1.0-60k	8.7651057	10.4885244	8.8657219
M0-Y-1.0-80k	5.4554987	6.5394510	5.5173982
M0-Y-1.0-100k	3.8549101	4.6269180	3.8983132
M0-Y-5.0-60k	14.7691104	17.5955448	14.9423367
M0-Y-5.0-80k	11.1640411	13.3033628	11.2951755
M0-Y-5.0-100k	9.1957998	10.9577724	9.3036034
M0-Y-10.0-60k	30.0682077	35.9115708	30.4284255
M0-Y-10.0-80k	24.5132682	29.3095244	24.8076105
M0-Y-10.0-100k	20.9945531	25.0927439	21.2460473
M0-J-1.0-60k	14.6749167	38.7525713	15.4765215
M0-J-1.0-80k	9.8538149	25.1740470	10.3772129
M0-J-1.0-100k	7.4024145	18.5697033	7.7906565
M0-J-5.0-60k	21.8684778	61.0367420	23.1289778
M0-J-5.0-80k	17.0675830	46.9630942	18.0437368
M0-J-5.0-100k	14.4212537	39.5465271	15.2425319
M0-J-10.0-60k	37.8953203	120.3476234	40.2821071
M0-J-10.0-80k	31.5344028	99.1432234	33.5034021
M0-J-10.0-100k	27.5838544	86.3075668	29.3056239
M0-H-1.0-60k	6.7880945	10.8046342	6.9305372
M0-H-1.0-80k	4.7936925	7.6184451	4.8909347
M0-H-1.0-100k	3.8026715	6.0372418	3.8786449
M0-H-5.0-60k	9.7833972	15.5155846	10.0039028
M0-H-5.0-80k	7.6450008	12.1228154	7.8144950
M0-H-5.0-100k	6.4794662	10.2520851	6.6224647
M0-H-10.0-60k	17.2261165	27.1230486	17.6341527
M0-H-10.0-80k	14.3069920	22.4881548	14.6462288
M0-H-10.0-100k	12.5075351	19.6302528	12.8029964
M0-K-1.0-60k	13.5282615	60.1042828	14.4667540
M0-K-1.0-80k	9.2021082	41.4330214	9.8408119
M0-K-1.0-100k	7.1028713	32.0479623	7.5955709
M0-K-5.0-60k	20.8867232	88.1307077	22.3311432
M0-K-5.0-80k	16.1291628	68.8657189	17.2417428
M0-K-5.0-100k	13.5888089	58.4139409	14.5273181
M0-K-10.0-60k	38.8582839	156.7777732	41.5358407
M0-K-10.0-80k	32.2008539	129.6913136	34.4333790
M0-K-10.0-100k	28.1611791	112.8520508	30.1212012
M3-Z-1.0-60k	7.7355214	13.0298029	8.0052677
M3-Z-1.0-80k	4.8496129	8.2244411	5.0229407
M3-Z-1.0-100k	3.4670437	5.9340532	3.5935177
M3-Z-5.0-60k	12.6877009	20.9673778	13.1226597
M3-Z-5.0-80k	9.7339844	16.0926666	10.0680816
M3-Z-5.0-100k	8.1593727	13.5270196	8.4399732
M3-Z-10.0-60k	24.2692389	39.0962620	25.0739723
M3-Z-10.0-80k	20.0559965	32.2632923	20.7242184
M3-Z-10.0-100k	17.4794711	28.1645869	18.0636326
M3-Y-1.0-60k	7.6838673	9.1830315	7.7722643
M3-Y-1.0-80k	4.7056956	5.6356226	4.7594916
M3-Y-1.0-100k	3.2884170	3.9431570	3.3258714
M3-Y-5.0-60k	13.2394980	15.7197474	13.3930667
M3-Y-5.0-80k	9.9638990	11.8406576	10.0802340
M3-Y-5.0-100k	8.1852906	9.7285395	8.2808850
M3-Y-10.0-60k	27.4885467	32.6636646	27.8053610
M3-Y-10.0-80k	22.3639095	26.6031818	22.6220060
M3-Y-10.0-100k	19.1239602	22.7434701	19.3444315
M3-J-1.0-60k	13.9948571	35.5212447	14.7550339
M3-J-1.0-80k	9.1021161	22.3460928	9.5838181
M3-J-1.0-100k	6.6650876	16.0125230	7.0114410
M3-J-5.0-60k	21.6960249	57.8079688	22.9333246
M3-J-5.0-80k	16.8003192	44.2398341	17.7510190
M3-J-5.0-100k	14.1269856	37.0966009	14.9220938
M3-J-10.0-60k	39.1882778	115.5192566	41.6216722
M3-J-10.0-80k	32.4956655	94.8802812	34.4937398
M3-J-10.0-100k	28.3548727	82.4110271	30.0956838
M3-H-1.0-60k	7.2928481	11.8357262	7.4620810
M3-H-1.0-80k	5.1690482	8.4021853	5.2877184
M3-H-1.0-100k	4.0962018	6.6663652	4.1903992
M3-H-5.0-60k	10.3410027	16.6630364	10.5902904
M3-H-5.0-80k	8.1191795	13.0782379	8.3124615
M3-H-5.0-100k	6.8981881	11.0883746	7.0618067
M3-H-10.0-60k	17.8015834	28.5433279	18.2425766
M3-H-10.0-80k	14.8045045	23.6958685	15.1717831
M3-H-10.0-100k	12.9507332	20.6893563	13.2708552
M3-K-1.0-60k	12.6235908	46.1068114	13.4588610
M3-K-1.0-80k	8.5021736	31.0713376	9.0640957
M3-K-1.0-100k	6.5101163	23.6867151	6.9403753
M3-K-5.0-60k	19.6020283	69.9191681	20.9017750
M3-K-5.0-80k	15.1126289	54.2270934	16.1122063
M3-K-5.0-100k	12.7285434	45.7744346	13.5707240
M3-K-10.0-60k	36.8940663	126.2866982	39.3601356
M3-K-10.0-80k	30.5356687	104.6006428	32.5814036
M3-K-10.0-100k	26.6918223	91.0781149	28.4814766
M6-Z-1.0-60k	3.9851192	7.7828824	4.1466521
M6-Z-1.0-80k	2.4112942	4.7281524	2.5099987
M6-Z-1.0-100k	1.6851496	3.3224088	1.7546487
