# id	prec_1 [m/s]	prec_2 [m/s]	prec_3 [m/s]
M0-Z-1.0-60k	9.01	14.80	9.32
M0-Z-1.0-80k	5.99	9.86	6.20
M0-Z-1.0-100k	4.50	7.47	4.66
M0-Z-5.0-60k	13.71	22.38	14.16
M0-Z-5.0-80k	10.68	17.40	11.04
M0-Z-5.0-100k	9.04	14.73	9.34
M0-Z-10.0-60k	24.21	38.76	24.98
M0-Z-10.0-80k	20.16	32.21	20.80
M0-Z-10.0-100k	17.66	28.25	18.23
M0-Y-1.0-60k	8.77	10.49	8.87
M0-Y-1.0-80k	5.46	6.54	5.52
M0-Y-1.0-100k	3.85	4.63	3.90
M0-Y-5.0-60k	14.77	17.60	14.94
M0-Y-5.0-80k	11.16	13.30	11.30
M0-Y-5.0-100k	9.20	10.96	9.30
M0-Y-10.0-60k	30.07	35.91	30.43
M0-Y-10.0-80k	24.51	29.31	24.81
M0-Y-10.0-100k	20.99	25.09	21.25
M0-J-1.0-60k	14.67	38.75	15.48
M0-J-1.0-80k	9.85	25.17	10.38
M0-J-1.0-100k	7.40	18.57	7.79
M0-J-5.0-60k	21.87	61.04	23.13
M0-J-5.0-80k	17.07	46.96	18.04
M0-J-5.0-100k	14.42	39.55	15.24
M0-J-10.0-60k	37.90	120.35	40.28
M0-J-10.0-80k	31.53	99.14	33.50
M0-J-10.0-100k	27.58	86.31	29.31
M0-H-1.0-60k	6.79	10.80	6.93
M0-H-1.0-80k	4.79	7.62	4.89
M0-H-1.0-100k	3.80	6.04	3.88
M0-H-5.0-60k	9.78	15.52	10.00
M0-H-5.0-80k	7.65	12.12	7.81
M0-H-5.0-100k	6.48	10.25	6.62
M0-H-10.0-60k	17.23	27.12	17.63
M0-H-10.0-80k	14.31	22.49	14.65
M0-H-10.0-100k	12.51	19.63	12.80
M0-K-1.0-60k	13.53	60.10	14.47
M0-K-1.0-80k	9.20	41.43	9.84
M0-K-1.0-100k	7.10	32.05	7.60
M0-K-5.0-60k	20.89	88.13	22.33
M0-K-5.0-80k	16.13	68.87	17.24
M0-K-5.0-100k	13.59	58.41	14.53
M0-K-10.0-60k	38.86	156.78	41.54
M0-K-10.0-80k	32.20	129.69	34.43
M0-K-10.0-100k	28.16	112.85	30.12
M3-Z-1.0-60k	7.74	13.03	8.01
M3-Z-1.0-80k	4.85	8.22	5.02
M3-Z-1.0-100k	3.47	5.93	3.59
M3-Z-5.0-60k	12.69	20.97	13.12
M3-Z-5.0-80k	9.73	16.09	10.07
M3-Z-5.0-100k	8.16	13.53	8.44
M3-Z-10.0-60k	24.27	39.10	25.07
M3-Z-10.0-80k	20.06	32.26	20.72
M3-Z-10.0-100k	17.48	28.16	18.06
M3-Y-1.0-60k	7.68	9.18	7.77
M3-Y-1.0-80k	4.71	5.64	4.76
M3-Y-1.0-100k	3.29	3.94	3.33
M3-Y-5.0-60k	13.24	15.72	13.39
M3-Y-5.0-80k	9.96	11.84	10.08
M3-Y-5.0-100k	8.19	9.73	8.28
M3-Y-10.0-60k	27.49	32.66	27.81
M3-Y-10.0-80k	22.36	26.60	22.62
M3-Y-10.0-100k	19.12	22.74	19.34
M3-J-1.0-60k	13.99	35.52	14.76
M3-J-1.0-80k	9.10	22.35	9.58
M3-J-1.0-100k	6.67	16.01	7.01
M3-J-5.0-60k	21.70	57.81	22.93
M3-J-5.0-80k	16.80	44.24	17.75
M3-J-5.0-100k	14.13	37.10	14.92
M3-J-10.0-60k	39.19	115.52	41.62
M3-J-10.0-80k	32.50	94.88	34.49
M3-J-10.0-100k	28.35	82.41	30.10
M3-H-1.0-60k	7.29	11.84	7.46
M3-H-1.0-80k	5.17	8.40	5.29
M3-H-1.0-100k	4.10	6.67	4.19
M3-H-5.0-60k	10.34	16.66	10.59
M3-H-5.0-80k	8.12	13.08	8.31
M3-H-5.0-100k	6.90	11.09	7.06
M3-H-10.0-60k	17.80	28.54	18.24
M3-H-10.0-80k	14.80	23.70	15.17
M3-H-10.0-100k	12.95	20.69	13.27
M3-K-1.0-60k	12.62	46.11	13.46
M3-K-1.0-80k	8.50	31.07	9.06
M3-K-1.0-100k	6.51	23.69	6.94
M3-K-5.0-60k	19.60	69.92	20.90
M3-K-5.0-80k	15.11	54.23	16.11
M3-K-5.0-100k	12.73	45.77	13.57
M3-K-10.0-60k	36.89	126.29	39.36
M3-K-10.0-80k	30.54	104.60	32.58
M3-K-10.0-100k	26.69	91.08	28.48
M6-Z-1.0-60k	3.99	7.78	4.15
M6-Z-1.0-80k	2.41	4.73	2.51
M6-Z-1.0-100k	1.69	3.32	1.75
M6-Z-5.0-60k	6.92	13.29	7.20
M6-Z-5.0-80k	5.23	10.06	5.44
M6-Z-5.0-100k	4.35	8.39	4.53
M6-Z-10.0-60k	14.36	27.10	14.96
M6-Z-10.0-80k	11.77	22.18	12.26
M6-Z-10.0-100k	10.20	19.25	10.62
M6-Y-1.0-60k	5.39	6.86	5.47
M6-Y-1.0-80k	3.43	4.45	3.48
M6-Y-1.0-100k	2.45	3.20	2.48
M6-Y-5.0-60k	8.37	10.30	8.48
M6-Y-5.0-80k	6.47	8.01	6.55
M6-Y-5.0-100k	5.39	6.69	5.46
M6-Y-10.0-60k	14.40	17.22	14.57
M6-Y-10.0-80k	11.95	14.32	12.09
M6-Y-10.0-100k	10.33	12.39	10.45
M6-J-1.0-60k	8.09	21.54	8.57
M6-J-1.0-80k	5.12	13.44	5.42
M6-J-1.0-100k	3.68	9.56	3.89
M6-J-5.0-60k	12.96	34.76	13.74
M6-J-5.0-80k	9.97	26.65	10.57
M6-J-5.0-100k	8.35	22.30	8.85
M6-J-10.0-60k	23.80	63.11	25.21
M6-J-10.0-80k	19.73	52.26	20.90
M6-J-10.0-100k	17.20	45.59	18.22
M6-H-1.0-60k	6.19	12.00	6.41
M6-H-1.0-80k	4.16	8.05	4.31
M6-H-1.0-100k	3.17	6.13	3.28
M6-H-5.0-60k	9.46	18.31	9.79
M6-H-5.0-80k	7.33	14.12	7.58
M6-H-5.0-100k	6.18	11.88	6.40
M6-H-10.0-60k	17.48	34.46	18.10
M6-H-10.0-80k	14.47	28.45	14.98
M6-H-10.0-100k	12.63	24.78	13.08
M6-K-1.0-60k	7.62	25.45	8.13
M6-K-1.0-80k	5.06	17.02	5.40
M6-K-1.0-100k	3.84	12.91	4.09
M6-K-5.0-60k	11.92	38.77	12.71
M6-K-5.0-80k	9.17	30.00	9.78
M6-K-5.0-100k	7.72	25.30	8.23
M6-K-10.0-60k	22.69	70.27	24.20
M6-K-10.0-80k	18.78	58.31	20.02
M6-K-10.0-100k	16.40	50.91	17.49
M9-Z-1.0-60k	3.39	7.10	3.54
M9-Z-1.0-80k	2.05	4.32	2.14
M9-Z-1.0-100k	1.44	3.04	1.50
M9-Z-5.0-60k	5.87	12.12	6.13
M9-Z-5.0-80k	4.44	9.18	4.63
M9-Z-5.0-100k	3.69	7.65	3.85
M9-Z-10.0-60k	12.15	24.72	12.71
M9-Z-10.0-80k	9.97	20.24	10.42
M9-Z-10.0-100k	8.64	17.57	9.04
M9-Y-1.0-60k	4.42	5.82	4.48
M9-Y-1.0-80k	2.76	3.72	2.81
M9-Y-1.0-100k	1.95	2.65	1.98
M9-Y-5.0-60k	6.96	8.77	7.05
