# id	prec_1 [m/s]	prec_2 [m/s]	prec_3 [m/s]
M0-Z-1.0-60k	9.27	15.23	9.59
M0-Z-1.0-80k	6.18	10.18	6.40
M0-Z-1.0-100k	4.64	7.71	4.81
M0-Z-5.0-60k	14.05	22.94	14.52
M0-Z-5.0-80k	10.96	17.84	11.33
M0-Z-5.0-100k	9.28	15.11	9.59
M0-Z-10.0-60k	24.70	39.55	25.49
M0-Z-10.0-80k	20.56	32.87	21.22
M0-Z-10.0-100k	18.01	28.81	18.59
M0-Y-1.0-60k	9.06	10.84	9.17
M0-Y-1.0-80k	5.66	6.78	5.72
M0-Y-1.0-100k	4.00	4.80	4.05
M0-Y-5.0-60k	15.21	18.12	15.39
M0-Y-5.0-80k	11.51	13.71	11.64
M0-Y-5.0-100k	9.48	11.30	9.59
M0-Y-10.0-60k	30.85	36.84	31.22
M0-Y-10.0-80k	25.15	30.07	25.45
M0-Y-10.0-100k	21.53	25.74	21.79
M0-J-1.0-60k	14.67	38.75	15.48
M0-J-1.0-80k	9.85	25.17	10.38
M0-J-1.0-100k	7.40	18.57	7.79
M0-J-5.0-60k	21.87	61.04	23.13
M0-J-5.0-80k	17.07	46.96	18.04
M0-J-5.0-100k	14.42	39.55	15.24
M0-J-10.0-60k	37.90	120.35	40.28
M0-J-10.0-80k	31.53	99.14	33.50
M0-J-10.0-100k	27.58	86.31	29.31
M0-H-1.0-60k	6.85	10.90	6.99
M0-H-1.0-80k	4.88	7.76	4.98
M0-H-1.0-100k	3.87	6.15	3.95
M0-H-5.0-60k	9.81	15.56	10.03
M0-H-5.0-80k	7.71	12.22	7.88
M0-H-5.0-100k	6.52	10.32	6.67
M0-H-10.0-60k	17.20	27.08	17.60
M0-H-10.0-80k	14.29	22.47	14.63
M0-H-10.0-100k	12.48	19.59	12.78
M0-K-1.0-60k	9.83	43.68	10.51
M0-K-1.0-80k	6.70	30.18	7.17
M0-K-1.0-100k	5.18	23.37	5.54
M0-K-5.0-60k	15.13	63.85	16.18
M0-K-5.0-80k	11.69	49.92	12.50
M0-K-5.0-100k	9.85	42.35	10.53
M0-K-10.0-60k	28.06	113.23	30.00
M0-K-10.0-80k	23.25	93.65	24.86
M0-K-10.0-100k	20.33	81.48	21.75
M3-Z-1.0-60k	7.64	12.86	7.90
